Time,lat,long,depth,mag
2005-01-15T13:47:05.130Z,-6.462,105.236,58.7,6
2005-01-15T14:02:14.700Z,-3.726,-80.793,38.6,5
2005-01-16T08:25:04.470Z,-25.528,-176.299,16,6.2
2005-01-16T16:20:16.390Z,-34.164,-179.718,70.1,5
2005-01-16T20:17:52.760Z,10.934,140.842,24.9,6.6
2005-01-16T22:47:29.060Z,8.662,93.616,30,5
2005-01-17T00:50:04.190Z,-15.504,-173.177,10,5.2
2005-01-17T02:45:14.840Z,14.57,92.594,18.6,5
2005-01-17T02:53:40.570Z,3.869,95.919,42.5,5
2005-01-17T05:43:53.370Z,10.922,140.799,10,5
2005-01-17T10:50:32.560Z,10.986,140.682,12,6.1
2005-01-18T02:36:45.530Z,10.622,92.019,27.9,5
2005-01-18T04:26:54.620Z,-19.948,168.514,44.5,5.1
2005-01-18T05:50:38.570Z,57.035,-33.958,10,5
2005-01-18T06:59:03.740Z,57.049,-33.811,10,5.7
2005-01-18T08:36:04.400Z,-41.46,175.78,20,5.2
2005-01-18T09:26:00.500Z,-41.45,175.78,24,5
2005-01-18T14:09:06.220Z,42.946,144.866,42,6.3
2005-01-18T15:30:19.920Z,35.531,67.965,10,5.3
2005-01-18T21:20:32.450Z,-22.905,179.037,588.9,5.8
2005-01-19T06:11:36.400Z,34.064,141.491,27.8,6.6
2005-01-19T06:17:07.330Z,34.174,141.542,10,5.3
2005-01-19T06:28:19.810Z,41.921,79.169,38.8,5.1
2005-01-19T13:51:53.340Z,33.826,141.531,16.2,5
2005-01-19T16:09:17.820Z,3.547,92.7,30,5
2005-01-19T17:32:30.670Z,4.705,95.157,30,5
2005-01-20T02:59:10.500Z,49.825,156.176,38.4,5.4
2005-01-20T13:58:13.090Z,-32.593,-178.785,10,5.4
2005-01-20T14:16:26.820Z,33.859,141.509,51.3,5.4
2005-01-20T16:23:05.210Z,-11.102,161.531,43.6,5
2005-01-20T16:47:01.860Z,3.739,126.814,10,5.2
2005-01-20T18:56:30.700Z,-41.223,175.21,39,5.3
2005-01-20T19:26:40.690Z,6.437,93.348,30.4,5.2
2005-01-20T20:20:21.240Z,-30.948,-178.126,35,5.3
2005-01-20T22:18:38.550Z,-22.142,-68.731,102.1,5.1
2005-01-21T01:16:33.980Z,-20.272,168.849,10,5
2005-01-21T04:30:29.010Z,-1.188,-80.841,10,5.4
2005-01-21T12:45:31.520Z,34.021,141.553,10,5.7
2005-01-21T13:45:14.060Z,-1.134,-80.829,10,6
2005-01-21T14:28:22.510Z,24.696,122.46,103.6,5.2
2005-01-21T16:47:00.550Z,-1.178,-80.869,10,5
2005-01-21T17:54:34.930Z,5.186,125.245,175.4,5.9
2005-01-21T17:58:56.410Z,34.003,141.367,10,5.8
2005-01-21T18:10:35.180Z,33.892,141.52,10,5
2005-01-21T20:48:59.850Z,-32.78,-178.762,10,5.5
2005-01-22T01:12:14.480Z,-1.2,-80.792,26.1,5.2
2005-01-22T02:57:07.190Z,-22.27,-63.649,526.8,5.3
2005-01-22T09:18:05.980Z,3.633,94.136,30,5
2005-01-22T10:48:45.710Z,-10.73,123.948,41.7,5.2
2005-01-22T11:27:43.160Z,-31.61,-177.929,23.5,5.7
2005-01-22T12:30:18.830Z,-31.555,-177.759,10,5
2005-01-22T18:38:14.000Z,14.554,92.938,30,5.5
2005-01-22T20:30:17.350Z,-7.727,159.475,29,6.4
2005-01-23T01:03:55.450Z,-5.849,151.582,25.2,5.5
2005-01-23T03:32:27.070Z,-13.882,66.191,10,5.5
2005-01-23T06:16:03.680Z,2.596,94.387,27.7,5
2005-01-23T10:06:07.740Z,-1.202,-80.796,15.9,5
2005-01-23T16:55:49.340Z,13.635,93.011,28.4,5.1
2005-01-23T19:59:45.370Z,-1.097,120.145,28.9,5.3
2005-01-23T20:10:12.150Z,-1.198,119.933,11,6.3
2005-01-23T20:36:08.120Z,2.71,94.337,26.4,5.2
2005-01-23T21:02:34.450Z,-1.103,120.164,22.9,5.3
2005-01-23T22:36:05.530Z,35.796,29.641,10,5.8
2005-01-23T23:15:52.920Z,-42.717,-82.681,10,5.3
2005-01-24T00:39:20.350Z,4.701,96.134,19.5,5.3
2005-01-24T04:16:47.440Z,7.33,92.482,30,6.3
2005-01-24T06:11:52.300Z,-2.332,-80.646,28.5,5.6
2005-01-24T17:45:41.200Z,9.388,-84.753,9,5.3
2005-01-24T17:59:23.580Z,4.748,94.809,48.1,5
2005-01-24T19:07:15.670Z,-29.399,-71.715,42.6,5.1
2005-01-24T23:23:26.120Z,-1.364,-80.785,16.9,6.1
2005-01-24T23:26:50.320Z,-1.398,-80.91,10,5.8
2005-01-24T23:59:32.100Z,-1.427,-80.874,15,5.1
2005-01-25T09:54:22.420Z,5.447,94.67,30,5
2005-01-25T11:00:19.390Z,52.115,173.294,13.8,5.1
2005-01-25T11:39:20.910Z,33.388,45.872,45.2,5
2005-01-25T16:44:16.130Z,37.622,43.703,41.2,5.9
2005-01-25T18:54:27.040Z,49.311,154.359,133.9,5.3
2005-01-25T22:21:58.500Z,69.656,138.833,10,5.1
2005-01-26T17:30:28.820Z,8.25,94.038,23.3,5.6
2005-01-26T17:49:56.780Z,-6.764,129.568,33.9,5.6
2005-01-26T22:00:42.570Z,2.699,94.602,22.2,6.2
2005-01-26T22:46:59.070Z,8.018,94.063,23.3,5.5
2005-01-26T23:03:04.820Z,7.842,94.01,17.5,5.1
2005-01-26T23:43:28.670Z,5.336,94.327,47.2,5.1
2005-01-27T03:56:42.850Z,27.219,140.44,174.6,5.2
2005-01-27T03:58:44.620Z,7.942,93.99,30,5.4
2005-01-27T04:02:47.570Z,7.87,94.251,30,5.1
2005-01-27T05:22:18.670Z,7.828,94,30,5.4
2005-01-27T05:35:23.160Z,13.285,92.84,30,5
2005-01-27T05:48:12.650Z,7.964,94.094,30,5.3
2005-01-27T05:51:00.290Z,10.783,91.777,30,5.2
2005-01-27T06:14:29.060Z,7.821,94.179,30,5
2005-01-27T06:56:59.170Z,7.944,94.059,38.1,5.7
2005-01-27T07:20:24.310Z,7.933,94.052,30,5.2
2005-01-27T07:26:00.670Z,7.83,93.95,30,5.3
2005-01-27T07:28:31.210Z,7.85,93.977,30,5.2
2005-01-27T07:35:45.570Z,7.896,94.135,30,5.2
2005-01-27T08:07:24.000Z,7.969,94.14,30,5.2
2005-01-27T08:19:07.890Z,7.91,94.03,30,5.5
2005-01-27T08:31:12.830Z,7.954,94.109,30,5.3
2005-01-27T08:36:52.240Z,7.777,94.054,30,5.2
2005-01-27T08:42:16.500Z,7.951,94.268,30,5.5
2005-01-27T08:42:58.090Z,7.687,94.065,30,5.2
2005-01-27T09:11:29.760Z,7.809,94.02,30,5.2
2005-01-27T09:25:27.850Z,7.934,94.086,30,5.2
2005-01-27T09:52:20.500Z,7.846,94.006,30,5.4
2005-01-27T09:59:31.500Z,8.063,93.822,30,5.3
2005-01-27T10:08:12.350Z,7.96,94.13,30,5.3
2005-01-27T10:25:47.330Z,7.53,93.858,30,5.1
2005-01-27T10:58:07.280Z,7.937,94.173,30,5.3
2005-01-27T11:44:05.010Z,7.977,94.179,30,5.3
2005-01-27T11:47:38.460Z,8.015,94.002,37.7,5.5
2005-01-27T11:56:34.160Z,7.733,93.968,30,5.1
2005-01-27T12:11:55.780Z,7.907,94.345,30,5.4
2005-01-27T12:54:01.650Z,25.52,126.193,60.3,5
2005-01-27T13:15:19.540Z,7.987,94.096,30,5.4
2005-01-27T13:18:01.810Z,7.828,94.216,30,5.3
2005-01-27T13:25:17.990Z,7.792,94.119,30,5.2
2005-01-27T13:26:33.900Z,7.869,94.124,30,5.3
2005-01-27T13:54:16.010Z,7.936,94.266,30,5.4
2005-01-27T13:57:06.450Z,7.994,94.155,30,5.5
2005-01-27T14:13:15.020Z,7.842,93.984,30,5.1
2005-01-27T14:35:07.110Z,7.98,94.116,30,5.1
2005-01-27T15:24:49.000Z,7.694,94.238,30,5.2
2005-01-27T15:27:34.560Z,7.92,94.258,30,5
2005-01-27T15:27:53.380Z,7.963,94.214,30,5.3
2005-01-27T15:34:29.970Z,7.706,94.123,30,5.3
2005-01-27T16:00:56.800Z,8.077,94.199,30,5
2005-01-27T16:02:23.910Z,7.989,93.899,30,5.1
2005-01-27T16:48:25.900Z,7.99,94.159,30,5
2005-01-27T16:58:51.130Z,7.877,94.093,30,5.9
2005-01-27T17:01:32.130Z,7.643,94.128,30,5.1
2005-01-27T17:24:59.670Z,7.601,94.206,25.2,5.4
2005-01-27T17:40:48.930Z,7.97,94.116,30,5.4
2005-01-27T18:52:38.880Z,7.858,94.107,30,5.6
2005-01-27T19:20:20.120Z,7.899,94.107,30,5.3
2005-01-27T19:31:09.620Z,8.011,94.079,30,5.2
2005-01-27T19:40:36.280Z,8.128,94.047,30,5.3
2005-01-27T20:09:52.160Z,5.511,94.306,30,5.5
2005-01-27T20:17:38.530Z,7.973,94.058,30,5.1
2005-01-27T20:31:02.590Z,8.153,93.961,30,5.2
2005-01-27T20:45:15.210Z,7.934,94.046,16.1,5
2005-01-27T20:51:10.860Z,8.181,94.162,23.4,5.2
2005-01-27T21:00:44.610Z,9.697,93.471,30,5.3
2005-01-27T21:05:02.530Z,7.804,94.18,30,5.1
2005-01-27T21:32:20.920Z,8.121,94.031,30,5.2
2005-01-27T21:47:53.550Z,7.846,93.922,30,5.2
2005-01-27T22:40:47.340Z,8.039,94.105,30,5.4
2005-01-27T22:56:48.090Z,7.984,94.102,30,5
2005-01-27T23:20:07.230Z,8.09,94.116,30,5.4
2005-01-27T23:27:01.040Z,7.793,94.105,30,5.1
2005-01-28T00:15:44.810Z,7.887,94.097,20.2,5.3
2005-01-28T01:36:16.870Z,7.924,94.117,18.8,5.2
2005-01-28T01:43:35.060Z,8.007,94.117,17.8,5
2005-01-28T02:23:14.280Z,7.724,94.019,30,5.3
2005-01-28T02:28:58.940Z,7.831,93.953,22.6,5.2
2005-01-28T03:31:24.040Z,7.96,94.041,18.3,5.4
2005-01-28T04:34:30.840Z,7.517,93.996,30,5.2
2005-01-28T04:34:53.670Z,7.907,94.177,30,5
2005-01-28T05:04:31.310Z,7.807,93.564,33.6,5.4
2005-01-28T05:06:43.890Z,8.162,94.173,18.4,5.2
2005-01-28T05:38:25.330Z,7.816,94.02,30,5.1
2005-01-28T06:06:55.730Z,7.897,93.897,24.8,5.4
2005-01-28T06:10:27.190Z,7.9,93.993,16,5.5
2005-01-28T06:13:27.560Z,7.907,94.033,43.8,5.7
2005-01-28T07:49:17.910Z,7.969,94.13,30,5.6
2005-01-28T08:21:24.610Z,8.009,94.069,40.1,5.3
2005-01-28T08:29:45.620Z,7.863,93.964,16.6,5.3
2005-01-28T08:47:17.760Z,7.86,94.003,30,5.3
2005-01-28T09:14:46.180Z,8.06,94.051,30,5.2
2005-01-28T09:26:18.830Z,-1.183,-81.499,10,6.1
2005-01-28T10:21:19.220Z,8.099,94.059,30,5.2
2005-01-28T11:53:02.140Z,7.903,94.059,30,5.3
2005-01-28T12:37:10.830Z,8.002,94.102,13.4,5.1
2005-01-28T15:46:45.270Z,-1.089,-81.157,10,6.2
2005-01-28T17:49:40.580Z,7.915,94.127,30,5.1
2005-01-28T19:18:51.500Z,7.989,94.114,19.6,5.5
2005-01-28T22:29:03.030Z,7.745,93.964,19.4,5.4
2005-01-28T22:35:25.340Z,7.728,94.022,21.7,5.2
2005-01-28T23:32:10.290Z,7.957,94.098,21.3,5
2005-01-29T01:13:44.390Z,7.311,92.528,35.8,5.3
2005-01-29T01:50:22.930Z,7.795,94.103,30,5.4
2005-01-29T02:03:40.340Z,-24.559,-176.064,19,5.1
2005-01-29T02:55:20.050Z,5.073,94.706,46.1,5.1
2005-01-29T03:38:00.940Z,8.109,94.274,16.9,5.1
2005-01-29T05:26:48.010Z,7.935,94.157,30,5.3
2005-01-29T05:44:13.890Z,13.104,92.996,30,5.2
2005-01-29T06:10:43.810Z,3.325,93.7,29.3,5.5
2005-01-29T06:37:46.690Z,-56.809,-141.032,10,5.6
2005-01-29T07:21:44.270Z,3.321,93.745,27.2,5.2
2005-01-29T09:27:39.990Z,7.835,94.236,30,5
2005-01-29T11:50:51.250Z,-1.992,126.628,23.6,5.2
2005-01-29T14:52:10.700Z,-4.776,153.209,47,5
2005-01-29T16:12:49.350Z,8.359,94.476,30,5
2005-01-29T16:36:56.190Z,8.009,94.106,42.9,5.1
2005-01-29T18:20:58.570Z,5.512,94.322,30,5.2
2005-01-29T19:06:15.710Z,7.812,94.278,30,5.3
2005-01-29T20:01:54.320Z,8.06,94.146,20.7,5.3
2005-01-29T20:28:23.290Z,7.909,94.386,30,5.6
2005-01-29T20:54:23.730Z,7.734,94.084,30,5
2005-01-29T20:58:35.670Z,8.319,93.959,30,5
2005-01-29T21:01:09.040Z,-1.626,-15.516,10,5.5
2005-01-29T22:03:37.330Z,8.018,94.109,30,5.4
2005-01-29T22:59:54.630Z,12.377,92.358,30,5
2005-01-29T23:14:30.370Z,7.959,93.509,30,5
2005-01-30T00:07:34.300Z,8.291,94.332,22,5.3
2005-01-30T00:34:09.960Z,8.063,94.267,30,5.1
2005-01-30T02:25:41.810Z,8.142,94.23,18.4,5
2005-01-30T02:35:16.550Z,8.171,94.268,23.2,5.2
2005-01-30T03:13:27.730Z,7.676,94.129,30,5.1
2005-01-30T03:13:44.050Z,8.008,94.249,30,5
2005-01-30T06:26:15.380Z,13.784,93.147,21.8,5.1
2005-01-30T07:02:26.670Z,13.154,92.932,43.4,5.1
2005-01-30T07:06:49.200Z,-0.793,-81.065,28.6,5.7
2005-01-30T08:08:26.730Z,-24.422,-175.996,32.8,5.6
2005-01-30T08:10:44.390Z,-22.899,-175.169,47.9,5.5
2005-01-30T08:49:36.800Z,8.007,94.023,21.2,5.2
2005-01-30T10:32:54.020Z,8.076,94.228,21.7,5
2005-01-30T15:33:13.510Z,8.117,94.056,18.6,5.5
2005-01-30T16:23:48.430Z,35.806,29.63,10,5.3
2005-01-30T17:15:51.030Z,-29.514,-176.986,50.3,5
2005-01-30T21:39:03.420Z,8.222,94.282,20.9,5.3
2005-01-31T01:05:33.560Z,37.535,20.155,31.9,5.7
2005-01-31T06:45:44.050Z,4.055,96.765,30,5.1
2005-01-31T08:15:05.900Z,7.981,94.26,18.8,5.1
2005-01-31T09:39:47.570Z,41.834,143.643,21.9,5.4
2005-01-31T13:14:33.270Z,8.167,94.265,22.1,5.1
2005-01-31T13:56:37.550Z,-56.082,-27.403,109.3,5.6
2005-01-31T16:30:17.150Z,8.072,94.055,20,5.1
2005-01-31T17:31:53.500Z,-41.44,175.75,22,5.1
2005-01-31T20:29:08.350Z,65.895,-9.776,17.7,5.2
2005-02-01T01:08:01.980Z,7.929,94.065,15.9,5.2
2005-02-01T01:59:50.700Z,24.294,121.782,38.1,5
2005-02-01T09:21:02.330Z,-21.714,-179.458,580.1,5.3
2005-02-01T10:28:39.820Z,-20.398,-175.982,172.5,5.5
2005-02-01T10:35:16.890Z,9.99,93.959,32,5.4
2005-02-01T13:41:53.190Z,8.113,94.14,19.1,5.2
2005-02-01T13:54:38.040Z,9.988,93.993,43.6,5.3
2005-02-01T14:15:49.100Z,5.185,94.557,24,5.3
2005-02-01T17:40:49.160Z,-6.498,154.532,63.1,5.5
2005-02-02T01:30:22.280Z,9.962,93.96,39.5,5.5
2005-02-02T02:30:25.940Z,14.08,144.715,158.7,6.3
2005-02-02T06:28:36.670Z,-7.476,145.044,26.1,5.6
2005-02-02T09:04:27.740Z,5.274,94.501,45.6,5.2
2005-02-02T13:22:37.240Z,8.319,94.312,18.3,5.1
2005-02-02T14:11:47.400Z,-6.645,144.64,13.6,5.4
