split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices,window,precision,recall
Val,30,28,60.0,8.94427190999916,60.71428571428571,9.229618630166094,54,51,"[5, 21, 80, 100, 121, 162, 182, 300, 317, 347, 360, 395, 406, 434, 447, 456, 518]","[5, 21, 80, 100, 121, 162, 182, 268, 300, 317, 347, 360, 395, 406, 434, 447, 456, 518]",0,0.6,
Train,38,32,78.94736842105263,6.613482762500455,81.25,6.899813176818631,107,103,"[15, 78, 160, 281, 293, 396, 447, 452, 572, 686, 734, 739, 805, 848, 899, 1260, 1340, 1375, 1516, 1688, 1712, 1714, 1715, 1757, 1780, 1784]","[15, 78, 160, 281, 293, 396, 447, 452, 529, 572, 686, 734, 739, 805, 848, 899, 916, 1045, 1260, 1340, 1372, 1375, 1516, 1688, 1712, 1714, 1715, 1757, 1780, 1784]",0,0.7894736842105263,
Val,46,23,76.08695652173914,6.289174099771509,73.91304347826086,9.156053715170009,68,37,"[10, 47, 68, 177, 204, 209, 218, 223, 331, 344, 362, 369, 381, 420, 423, 430, 489]","[10, 26, 27, 29, 30, 35, 36, 37, 43, 47, 66, 68, 177, 188, 189, 190, 196, 204, 209, 218, 223, 331, 340, 342, 343, 344, 347, 362, 365, 369, 381, 420, 423, 430, 489]",1,0.7608695652173914,
Train,39,34,87.17948717948718,5.353373566291198,91.17647058823528,4.864330767996384,137,134,"[27, 76, 190, 238, 309, 352, 403, 650, 764, 795, 844, 879, 1192, 1216, 1218, 1219, 1258, 1261, 1284, 1288, 1296, 1413, 1509, 1543, 1658, 1695, 1712, 1719, 1738, 1874, 1907]","[27, 76, 190, 238, 309, 352, 403, 420, 549, 650, 764, 795, 844, 879, 1192, 1216, 1218, 1219, 1258, 1261, 1284, 1288, 1296, 1413, 1509, 1543, 1576, 1658, 1695, 1712, 1719, 1738, 1874, 1907]",1,0.8717948717948718,
Val,10,5,60.0,15.491933384829668,60.0,21.908902300206645,20,12,"[197, 277, 364]","[125, 197, 277, 356, 357, 364]",2,0.6,
Train,40,28,90.0,4.743416490252569,89.28571428571429,5.845122059892652,141,128,"[80, 100, 333, 420, 452, 453, 793, 879, 962, 978, 1057, 1078, 1184, 1257, 1304, 1317, 1346, 1475, 1481, 1654, 1681, 1686, 1700, 1808, 1966]","[80, 100, 333, 420, 452, 453, 454, 793, 879, 962, 978, 1057, 1078, 1184, 1257, 1304, 1317, 1346, 1475, 1481, 1503, 1504, 1506, 1507, 1512, 1513, 1514, 1654, 1681, 1686, 1700, 1808, 1817, 1820, 1824, 1966]",2,0.9,
Val,22,15,59.09090909090909,10.482356110715555,60.0,12.649110640673516,28,19,"[28, 37, 40, 112, 163, 270, 271, 289, 322]","[28, 37, 40, 59, 112, 122, 124, 127, 163, 270, 271, 289, 322]",3,0.5909090909090909,
Train,38,29,78.94736842105263,6.613482762500455,82.75862068965517,7.01445003745666,85,73,"[211, 299, 320, 322, 507, 586, 607, 648, 713, 833, 846, 880, 942, 949, 1010, 1183, 1215, 1229, 1337, 1387, 1495, 1557, 1610, 1632]","[211, 299, 320, 322, 507, 586, 607, 648, 713, 833, 846, 880, 942, 949, 1010, 1032, 1033, 1035, 1183, 1215, 1229, 1337, 1346, 1353, 1387, 1495, 1557, 1610, 1632, 1864]",3,0.7894736842105263,
