window,key,window_size,fb_1,fb_2,fb_3,fb_4,fb_5,fb_6,fb_7,fb_8,fb_9,fb_10,fb_11
0,G144,15D,1.2804433051987278,5.106582626793225,4.3510675863303,3.4442277853285304,4.329944168104402,6.05528330005718,7.266256600191087,9.625706805906201,11.774734878849372,14.589293747585023,14.90484948443795
0,G125,15D,3.169652590645154,8.412114362191785,4.507656130966049,4.738884284329644,5.711842981205803,7.806318974014241,10.027697406273278,11.017499464198378,12.145675947502971,13.450795646339119,10.543454334034328
0,G107,15D,3.725074090496296,6.02924351906279,3.235403466560774,5.890842468559202,8.351916594236657,9.241585568179238,7.133901390374849,9.712227722092624,13.305627342467606,12.596254337527997,10.164441501067826
0,G89,15D,5.443109065876942,4.7710720311644215,3.9622652553056077,9.301642029500911,14.07434826251606,13.281928924707733,13.990368621799712,8.411154565608104,13.80249289829315,12.878165716025963,16.188415423481693
0,G71,15D,3.195780523239532,5.601247517281935,2.9564972688652214,9.410114828016207,7.576746097439717,9.421371267342295,12.44267969781094,12.499506181638031,10.301669782901888,9.972703308702153,9.436947534816442
0,G52,15D,4.019502879114395,6.007219434965698,5.030816930380934,3.8303115202173696,3.0336345656649026,4.956698877337063,7.2539790241461635,9.691606923959446,12.759998455188464,18.625940817482967,20.57238872933544
0,G143,15D,6.438529495828686,2.964524524735608,2.4812236470125812,1.911524180722951,2.440902038968663,4.125502433668404,6.693110584079373,10.80309562286412,12.440582253810087,12.656961334303126,15.698392864825218
0,G142,15D,3.388295820759648,5.774817723858342,5.145222948450147,5.103167968727741,4.1761287641740985,3.6167972379409754,4.44115751326832,5.448017937740306,10.238068697399074,13.855335672373036,9.657044290738032
0,G124,15D,11.042324952939182,10.521159797015802,8.342962479109259,4.93918138303221,5.071059446767003,5.9945522115485055,7.86694196500702,8.75487011618282,10.010113111508678,10.311974099844852,11.309929082675078
0,G106,15D,4.823821411477101,6.4554973539476785,6.323434746366229,5.658939575247068,10.076227546193207,11.278667761700923,12.055247184498215,14.36936960869158,12.478523595295508,13.449376215838281,15.726538622605474
0,G88,15D,4.3416340176822725,6.117585921656036,5.800837407001915,4.921761122797564,7.752253281323325,7.573817938368887,11.141181785589733,13.744405004516414,13.308234749933122,10.011424151416412,11.238567747207512
0,G69,15D,8.095905352767192,13.365275708844427,11.452631513317224,7.201882169210338,6.593234195619878,7.346512072465297,8.517256949351282,8.15892152423968,8.646961264893996,13.357857349208874,11.784804098580157
0,G51,15D,5.06190464363416,5.8096889002217695,5.518665728957003,4.876628872663721,2.5063691933125862,3.2681150560778964,4.757970829408083,9.957221676760362,13.100798733044284,13.198766468966303,12.00955738338001
0,G141,15D,3.8744348113930736,10.014584284223895,8.557766410561014,6.127732160473346,5.250409088338408,5.934535388181005,6.467952148404817,9.26009278283652,12.77979053890452,13.73783637237001,14.93935606902081
0,G123,15D,9.717229351885836,13.660559331691442,10.511259835658075,11.180427087611418,11.628712513499401,11.16132177388094,13.265472225686572,14.729824732351828,16.844506843518047,22.64030371134811,21.954957623238283
0,G105,15D,3.945352392049227,11.593972297792627,11.243325752202646,8.733302929532815,8.729849112493236,7.579799588020314,9.132259470581179,12.447338180313478,19.929211090750687,15.930624158486841,13.609587912531634
0,G86,15D,14.410926493310722,12.004951089329964,10.577883851970972,16.826585348365462,15.873509734701813,11.720390874346963,13.806021046695049,17.026176275715702,17.584485694005828,18.420602562678926,16.179748940123968
0,G68,15D,9.796853923704164,18.066148042493,14.744099005094268,9.94979619220607,10.363512880548216,9.113541425319593,10.538879590795094,10.228005402730894,12.18294500971924,13.191540932828278,13.710716415373515
