Naming,RST_Median,RST_99.7,Q_all,Q_tr_all,z_va_all,z_tr_all,z_tr_err32_all,z_va_err32_all,z_tr_err68_all,z_va_err68_all,avg_train_all,err_train_all,avg_val_all,err_val_all,mode,tw,label_name
sw5_tw48-30dBG_A,11.5,19.0,1.1107712324433747,1.5556781432211138,0.3174727631628743,1.2335969593217273,0.7593588044269701,0.0331795192373515,1.9244027525481664,0.6903927591235397,20.25432520250507,1.696526137042615,16.425909461962593,2.831878685500004,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_B,11.5,19.0,1.0767238862957094,1.3782254067687023,-0.007113969922518,1.006002202793619,0.3472540218037,-0.5292502034095158,1.6350737312055958,0.6215124228639611,18.607259480374427,1.6443117653455388,13.177044685583583,2.7211941561564577,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_C,11.5,19.0,1.2268226052211295,1.4577949536326855,0.2428055467025314,1.0726432627990574,0.3832803828489438,-0.3397949543883186,1.6101781054704576,1.1512143540228243,19.07935532592229,1.6537351019814932,15.3939623594796,2.579742170852968,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_D,11.5,19.0,0.9036103473869193,1.600003428570792,0.1218435033541684,1.0656449063500666,0.4049299132436106,-0.2204205231218878,1.8181797161333448,0.7089095308380889,19.385360221697983,1.6504747471623171,14.261352481940715,2.548159987475449,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_E,11.5,19.0,0.8596902532584739,2.2656015307429214,0.6176351866368502,2.142287869936724,1.9142107513325644,0.530151568332413,2.477416298022562,1.046681175860685,27.58079157201548,1.9039769529451684,17.378976509130176,2.2671175158261008,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_In-A,11.5,19.0,0.9708055556431848,1.1105181052675532,0.023584533178814,0.8631393758152384,0.7710168852922445,-0.4205601114367666,1.1947196981830746,0.6719840027857805,17.299810107507756,1.5659295213477749,14.049557743232503,2.31398893205002,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_In-B,11.5,19.0,0.6993098140300963,1.5624231784181482,0.2599343433217854,1.1731084807489902,0.5735890617917258,-0.0422483695642648,1.8181797161333448,0.8345700697369699,19.890339688168915,1.628226875157646,14.957024406752666,2.645510407939053,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_In-C,11.5,19.0,0.8928748634666797,1.518527432096766,0.3277889557376552,1.1839443186586318,1.141886086962489,-0.0109605331862177,1.5811468754931908,0.7835788284829902,19.94717881937153,1.6410464332812638,16.850391744693216,2.609237109242605,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_In-D,11.5,19.0,0.9318627793095716,1.5741012553002438,0.3051935083685939,1.0853068828950714,0.7863882424290678,-0.0371231060122937,1.8590347301390453,0.7510739100419697,19.50594619993932,1.6131174284243908,16.223038042081235,2.403240866285168,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_In-E,11.5,19.0,1.002647848847636,1.934904972179176,0.1292716380450748,1.6933858201190135,1.406967552976863,-0.1581138830084189,2.1374770250425352,0.6470965904601096,23.902124259429293,1.751364791082786,14.165750205066256,2.160133903920448,all,48,SW05x05_WG_TW48
tw48-30dBG_A,17.0,24.00150000000002,1.0270715570557791,1.1402350716706036,0.3344878206189445,0.6740862549685717,0.6019152772478642,-0.1277487430419812,1.0384124406156725,0.970463467725344,22.172382843085927,1.764461547395323,21.86529498598464,2.86812366200016,all,48,SW10x10_gap_TW48
tw48-30dBG_B,17.0,24.00150000000002,0.9425560612549404,1.2720080646775676,0.5135746721743709,0.9434851886995173,0.4868393108444582,-0.0309838667696595,1.1493276950107878,0.833690854004977,24.067561286651472,1.8168337648648685,22.871498295837597,2.94453222154267,all,48,SW10x10_gap_TW48
tw48-30dBG_C,17.0,24.00150000000002,1.0191168336581613,1.469509006788406,0.6241201442462001,1.3508746393530162,1.2768651461272755,0.2326860372395498,1.5365544601994152,1.0403789436858193,27.14385267682232,1.905783053941119,25.39500891382612,3.403007476955936,all,48,SW10x10_gap_TW48
tw48-30dBG_D,17.0,24.00150000000002,0.9132861185099704,1.3801715524358606,0.5406557462572512,1.1782791870742315,0.8203118968276791,0.2071006325421444,1.4099831368136466,1.0005467874728229,25.80071869553045,1.868113184137171,23.58736293692017,2.982625680418631,all,48,SW10x10_gap_TW48
tw48-30dBG_E,17.0,24.00150000000002,1.3178514126381211,1.6207755175765344,0.5270497955305291,1.385873166449237,1.1794805012975516,0.3205089494484266,1.970786223590808,0.8858938705528051,27.613658237946662,1.903247393335542,23.034153958439887,2.526977616374708,all,48,SW10x10_gap_TW48
tw48-30dBG_In-A,17.0,24.00150000000002,0.7692275077691184,1.0557882222335333,0.3819807969983269,0.6935614453378651,0.2836127903941088,-0.0828330522185017,0.9296139933801536,0.5938205491015076,22.167859750143407,1.7173790074802069,21.38717424961469,2.600432662106531,all,48,SW10x10_gap_TW48
tw48-30dBG_In-B,17.0,24.00150000000002,1.1057406403761116,1.2069638858532423,0.3296583658421815,0.7696968244366793,0.5821634575834845,-0.2070228399689588,1.2760461784464687,0.5394426442032819,22.989752043700665,1.7391629490294895,22.142459178804287,2.738856186698438,all,48,SW10x10_gap_TW48
tw48-30dBG_In-C,17.0,24.00150000000002,1.0004708951918633,1.3872474437698488,0.1097525333160855,1.0676378517550602,0.7213180189425463,-0.3446138134197571,1.6940988693169532,0.6814689167632733,25.139498556244288,1.7921474854988677,18.60502344877345,2.6120877750691096,all,48,SW10x10_gap_TW48
tw48-30dBG_In-D,17.0,24.00150000000002,1.1409893339180712,1.5418178918964518,0.4546384392405009,1.129372736326849,0.5398791130111322,0.0769187593768981,1.7923498297524296,0.7616221551867031,25.83371389093872,1.8007331101562636,23.6598083327872,2.7869139771515,all,48,SW10x10_gap_TW48
tw48-30dBG_In-E,17.0,24.00150000000002,0.8401951734086534,1.847466612084577,0.2347722866619125,1.5603661627518144,1.3458780371893933,-0.1017583310865059,1.7802709831113892,0.5515722562964909,29.1673437771284,1.8724022299877117,19.571119037289577,2.577658932814191,all,48,SW10x10_gap_TW48
sw10_tw48-30dBG_A,29.5,38.50150000000002,1.3251631801075798,2.2241484383769703,0.6609242454607974,1.7956666769022966,1.784185325411383,0.4456480054025857,2.5959942668114886,0.9890342616085108,44.24691401984671,2.0868013829969745,39.325727601362814,3.4981472132103213,all,48,SW10x10_WG_TW48
sw10_tw48-30dBG_B,29.5,38.50150000000002,1.5658347873130884,2.218922176869345,0.5169677868770466,1.8312962405173776,1.213500553221704,-0.1123540005570817,2.6283221744191065,1.3908341875652317,44.46103590929068,2.0947374814624102,37.16816800704268,3.2650889056631462,all,48,SW10x10_WG_TW48
sw10_tw48-30dBG_C,29.5,38.50150000000002,1.2273386240269772,1.8898161349231912,0.4287558015028326,1.3137377142620603,1.0468920198062104,0.1466759436578684,1.7922494300838856,0.9510537278110902,40.41495938061652,2.06138925119702,35.874757958091294,3.50123194037966,all,48,SW10x10_WG_TW48
sw10_tw48-30dBG_D,29.5,38.50150000000002,1.6151494408864389,1.987340743315652,0.9012913778738152,1.6851205914986689,1.4323462050601747,0.5170513568154779,2.2060244533750946,1.6038405531731248,43.26982173511684,2.102152334416219,41.90856112559966,3.4076931818161067,all,48,SW10x10_WG_TW48
sw10_tw48-30dBG_E,29.5,38.50150000000002,1.4110398378054057,2.8761621152184733,0.7104803798596787,2.689512063066773,2.526246238249344,0.066123187545688,3.1569722926882635,1.5362886430195497,51.47308495774241,2.1261808532204896,38.70207371486144,3.0327698911013115,all,48,SW10x10_WG_TW48
sw10_tw48-30dBG_In-A,29.5,38.50150000000002,1.3164059067384934,1.4305137637990986,0.4256341289061787,0.9217682643732704,1.0005290911031617,-0.2705172307611883,1.3678420573806738,1.0892524342033,37.21161458748299,1.98921915090612,37.2863759205354,3.2109353528293,all,48,SW10x10_WG_TW48
sw10_tw48-30dBG_In-B,29.5,38.50150000000002,1.1700081885282818,1.9390561482277373,0.4523516907719013,1.5300126624564443,1.2235464788092445,0.0459366585113648,1.7671820958216184,0.9595493017584268,42.03525006263868,2.025378722715721,36.27680993470467,3.327549449302023,all,48,SW10x10_WG_TW48
sw10_tw48-30dBG_In-C,29.5,38.50150000000002,1.329083462415585,2.100544089656615,0.5791779092283567,1.4883793323029093,1.0235563925990316,-0.2384704097436241,2.659303059667681,1.0627052742882197,41.81554427836605,2.002577776988261,37.83416120857622,3.2520503093471964,all,48,SW10x10_WG_TW48
sw10_tw48-30dBG_In-D,29.5,38.50150000000002,1.211476922813324,2.077229366927974,0.8379557337689779,1.6767752066580963,0.8914255779942558,0.1298218705170206,2.1102018520691543,1.48912043501407,43.223933999507786,2.031616443012358,40.866998523248526,3.295286374985944,all,48,SW10x10_WG_TW48
sw10_tw48-30dBG_In-E,29.5,38.50150000000002,1.4451973754611096,2.507735871471952,0.7298250245217587,2.0624773170056487,1.458136614903624,0.3870646915798673,3.1940402309925413,1.0607420198449204,46.42254380890638,2.03424640029062,39.06217256255955,2.9857893613575808,all,48,SW10x10_WG_TW48
tw48-30dBG_A,55.50000000000001,65.00150000000002,1.539305735268711,1.532491251440981,-0.2690144986236325,-0.0637494696172593,-1.002873141524511,-0.8310341025959758,0.8404760392766212,0.9860232322697364,54.57876263151905,2.0797527813295926,53.34036551683612,3.3046264717612046,all,48,SW10x10_WOG_TW48
tw48-30dBG_B,55.50000000000001,65.00150000000002,1.278059826041201,1.376417184382226,-0.0828720529215787,0.0068248406880733,-0.7551237792080432,-0.8944573803744394,0.9459915362133796,0.6343672815702773,55.12590192944483,2.0905985880758995,54.57590839943781,3.373657524425516,all,48,SW10x10_WOG_TW48
tw48-30dBG_C,55.50000000000001,65.00150000000002,1.5047031487658649,1.4881007809201026,-0.117238567147525,-0.2749428645333264,-0.5864879975593379,-0.5669390717911885,0.5180448905531632,0.6959671632516616,53.013622692527626,2.090914409827104,55.11655789980598,3.325984324624553,all,48,SW10x10_WOG_TW48
tw48-30dBG_D,55.50000000000001,65.00150000000002,1.365895557337572,1.7385437999684428,-0.186943637911864,0.0995028504527146,-0.9064414361806632,-1.1768888721193305,0.8322165552613097,0.7636092532415324,55.57910841321158,2.063498972601713,54.43087979272189,3.437243319811996,all,48,SW10x10_WOG_TW48
tw48-30dBG_E,55.50000000000001,65.00150000000002,0.922498160307945,1.7291720092274836,0.2602970948108857,0.8306949304634934,0.0685293083374509,-0.2788842828289353,1.4224190591898846,0.7541274516035628,61.12958736505627,2.053357800486992,58.60828319757063,3.114702041572569,all,48,SW10x10_WOG_TW48
tw48-30dBG_In-A,55.50000000000001,65.00150000000002,1.5648875434327516,1.2320006632028724,-0.5431635105511682,-0.3059105590016204,-0.6487408748117047,-1.0107420202981838,-0.0063856683247001,0.2003460837180877,52.772995259797575,2.052210118914815,50.13695181629964,3.481047224081714,all,48,SW10x10_WOG_TW48
tw48-30dBG_In-B,55.50000000000001,65.00150000000002,1.2634085183212116,1.564027611717576,0.0310000191735875,0.0022511963499268,-0.2327973180750044,-0.4644518330373047,0.8641912695540036,0.5537105739759285,55.27220898531944,2.018789201355448,55.180346909465904,3.888379580096388,all,48,SW10x10_WOG_TW48
tw48-30dBG_In-C,55.50000000000001,65.00150000000002,1.1871817644584388,1.7914271522721426,0.1492154784621047,0.5839806267720811,-0.1233975435646626,-0.4386630877832321,1.0769727761696548,0.6488957623073368,59.184521205257525,1.9945980894679043,57.97965514787744,3.3673199800190816,all,48,SW10x10_WOG_TW48
tw48-30dBG_In-D,55.50000000000001,65.00150000000002,1.31991675808507,1.903716816732588,-0.0681543939013654,0.567565599797849,-0.3401179913839051,-0.867150101830619,1.5550333369926346,0.976308679751952,58.916705440150736,1.985307483319156,55.22805165325188,3.066751701619409,all,48,SW10x10_WOG_TW48
tw48-30dBG_In-E,55.50000000000001,65.00150000000002,1.4547258105456042,1.9666737571306536,-0.3493533564918332,0.7540915844916617,-0.6933469406825834,-0.9559092530151608,1.460198527125922,0.5859889944496423,60.135832247778126,1.981548713111515,52.51033967048007,3.200064663961296,all,48,SW10x10_WOG_TW48
tw48-30dBG_A,52.0,61.50150000000002,1.4951684541248085,2.5225910564518657,0.6159023543022084,1.900243335606344,1.5285367151799634,0.3207893632718931,2.32616246092612,1.3256703162733292,65.49656052186513,1.990868296165972,58.72769621682664,3.366756719141394,all,48,SW20x20_TW48
tw48-30dBG_B,52.0,61.50150000000002,1.657761733914506,1.90042806948168,0.9473282006321324,1.470945346657545,1.2745614274322503,0.263436396712972,1.7162034070086465,1.549033957332021,63.04119149376566,2.050829254594276,61.91407839053831,3.5027070147136925,all,48,SW20x20_TW48
tw48-30dBG_C,52.0,61.50150000000002,2.2266316595371287,2.751100737976567,1.1682310379530287,2.226476046542368,1.592979613391608,0.3908472958398968,2.794052001996568,2.0285085984806104,67.64478134077655,1.977790821897176,64.39549644218575,3.195374795219858,all,48,SW20x20_TW48
tw48-30dBG_D,52.0,61.50150000000002,1.98270962875389,3.557399609751545,1.1070230043655105,2.8012224258247804,1.6728497809550815,0.3534688686097368,3.284118498471124,1.642172039929754,70.30617749173625,1.918116563310722,63.66010449245744,3.460927687401789,all,48,SW20x20_TW48
tw48-30dBG_E,52.0,61.50150000000002,1.3757370809040088,6.588751122611461,0.6853728263740333,5.740012117084034,3.4759252153062272,0.2674301215956789,7.1783160450211145,1.482355232884051,81.854914934087,1.6128535636984611,58.62023706984948,3.173393740478895,all,48,SW20x20_TW48
tw48-30dBG_In_A,52.0,61.50150000000002,1.6565162732131289,2.0556422165283506,0.6792714734483566,1.4253346158112172,0.4686183107142853,-0.1289056980464901,2.053817459280299,1.2139917012090915,62.30059785549758,1.988080586699399,59.220874386162095,3.412258572057509,all,48,SW20x20_TW48
tw48-30dBG_In_B,52.0,61.50150000000002,1.5740683405776243,1.790109047769343,0.7598818151169691,1.4825317673846443,0.705595700985607,-0.0701119633275623,2.072714314985786,1.7049611280545651,63.29930712048412,2.001390477477429,60.22819653793918,3.487493475880082,all,48,SW20x20_TW48
tw48-30dBG_In_C,52.0,61.50150000000002,1.4380631891299964,2.712692026386827,0.5752471259525149,2.232710976791197,1.485635397875107,-0.1276989837928135,2.969437237266125,1.298535347585113,67.86340003714449,1.9159086324686687,57.95714497920381,3.3247332452992238,all,48,SW20x20_TW48
tw48-30dBG_In_D,52.0,61.50150000000002,1.3064712422331028,3.389924058338079,0.5081426859418197,2.5400331255625423,0.9241723570062814,0.4337772349925193,3.100981930452546,0.9944158776768064,68.39862436944823,1.8857108978528507,57.17861725263042,3.196710477719376,all,48,SW20x20_TW48
tw48-30dBG_In_E,52.0,61.50150000000002,1.8861699194344768,3.1206359565535045,0.9257523183048486,2.5716951142785143,1.6752104649782424,0.4628551253499439,3.3377680224040724,1.3620105716685236,69.59626642124161,1.8828615277212477,61.13326881056957,3.1587906069162983,all,48,SW20x20_TW48
tw48-30dBG_A,61.5,71.0,1.6669061085703356,1.0365454168499235,0.4724708517166852,0.5154309402267109,0.188102825012901,-0.4061911132455704,0.911240006636746,1.4154687345696804,65.0936623724874,2.03850097790166,65.17339679436455,3.233810890524155,all,48,SW20x20_WOG_TW48
tw48-30dBG_B,61.5,71.0,1.7740792734679534,1.5250186694520684,0.2378715763714426,0.9393603505518732,0.0830498802449205,0.1010814861585125,1.6457642410621194,1.1482943099629623,67.8549621527625,1.9868729957734452,62.282218108688696,3.2312318914237887,all,48,SW20x20_WOG_TW48
tw48-30dBG_C,61.5,71.0,1.7653671752327866,1.954188357582562,0.5502298918971392,1.386786364288079,0.6013849247106213,-0.4607823533249642,2.4939590159575307,1.278927777270496,70.717695071585,1.924682070495368,64.68529977647624,3.6004058168339528,all,48,SW20x20_WOG_TW48
tw48-30dBG_D,61.5,71.0,1.4374835263402403,2.288740282067442,0.4423273780087935,1.5039564607381657,0.7768493958205167,0.1347955158344061,1.787060483118604,1.1948672137227994,70.92948775360388,1.928197539738416,64.8393583983015,3.3448104490702466,all,48,SW20x20_WOG_TW48
tw48-30dBG_E,61.5,71.0,1.3289529016836674,4.258948490007948,0.1623279436787424,2.6937962894572323,1.4972157196453997,-0.1721595913804747,2.612616086256882,0.5600980937556634,75.36377520183574,1.814240525314802,62.15541974365504,3.148752474141914,all,48,SW20x20_WOG_TW48
tw48-30dBG_In-A,61.5,71.0,1.2378912405436135,0.973108083141978,0.2217989271363672,0.2284910482009755,-0.4765830573299397,-0.3318228506292832,0.5232253640076245,0.9214530459215556,62.8623333610093,2.004655852660873,62.387277796420506,3.4965163434491693,all,48,SW20x20_WOG_TW48
tw48-30dBG_In-B,61.5,71.0,1.5716166459388965,1.4423794093950992,0.2584551630965958,0.5333200290936487,-0.017069812912609,-0.7187406610633679,0.8986774356787628,0.9085796831930631,64.81726899819708,1.959379809817704,63.22791791541791,3.428546249801813,all,48,SW20x20_WOG_TW48
tw48-30dBG_In-C,61.5,71.0,1.4714071436234062,1.9139236261060133,-0.0066731489422789,1.191102122745512,0.2274661115634071,-0.364537211724569,1.7865052634586445,0.6364643708482248,69.138077487602,1.9016809022995205,60.84322825163342,3.2073324503173186,all,48,SW20x20_WOG_TW48
tw48-30dBG_In-D,61.5,71.0,1.353088747227386,2.3741757340985723,0.4259978962745909,1.4505111644647624,0.3663606371840424,-0.0715766949177051,1.941121528391986,0.6177187571279908,70.10579715405629,1.8689016732053088,64.15834569195238,3.085798215544783,all,48,SW20x20_WOG_TW48
