Naming,RST_Median,RST_99.7,Q_all,Q_tr_all,z_va_all,z_tr_all,avg_train_all,err_train_all,avg_val_all,err_val_all,z_tr_err32_all,z_va_err32_all,z_tr_err68_all,z_va_err68_all,mode,tw,label_name
sw10_tw48-30dBG_In-C,29.5,38.5015,1.329083462,2.10054409,0.579177909,1.488379332,41.81554428,2.002577777,37.83416121,3.252050309,1.023556393,-0.23847041,2.65930306,1.062705274,all,48,SW10x10_WG_TW48
sw10_tw48-30dBG_In-D,29.5,38.5015,1.211476923,2.077229367,0.837955734,1.676775207,43.223934,2.031616443,40.86699852,3.295286375,0.891425578,0.129821871,2.110201852,1.489120435,all,48,SW10x10_WG_TW48
sw10_tw48-30dBG_In-E,29.5,38.5015,1.445197375,2.507735871,0.729825025,2.062477317,46.42254381,2.0342464,39.06217256,2.985789361,1.458136615,0.387064692,3.194040231,1.06074202,all,48,SW10x10_WG_TW48
tw48-30dBG_A,55.5,65.0015,1.539305735,1.532491251,-0.269014499,-0.06374947,54.57876263,2.079752781,53.34036552,3.304626472,-1.002873142,-0.831034103,0.840476039,0.986023232,all,48,SW10x10_WOG_TW48
tw48-30dBG_B,55.5,65.0015,1.278059826,1.376417184,-0.082872053,0.006824841,55.12590193,2.090598588,54.5759084,3.373657524,-0.755123779,-0.89445738,0.945991536,0.634367282,all,48,SW10x10_WOG_TW48
tw48-30dBG_C,55.5,65.0015,1.504703149,1.488100781,-0.117238567,-0.274942865,53.01362269,2.09091441,55.1165579,3.325984325,-0.586487998,-0.566939072,0.518044891,0.695967163,all,48,SW10x10_WOG_TW48
tw48-30dBG_D,55.5,65.0015,1.365895557,1.7385438,-0.186943638,0.09950285,55.57910841,2.063498973,54.43087979,3.43724332,-0.906441436,-1.176888872,0.832216555,0.763609253,all,48,SW10x10_WOG_TW48
tw48-30dBG_E,55.5,65.0015,0.92249816,1.729172009,0.260297095,0.83069493,61.12958737,2.0533578,58.6082832,3.114702042,0.068529308,-0.278884283,1.422419059,0.754127452,all,48,SW10x10_WOG_TW48
tw48-30dBG_In-A,55.5,65.0015,1.564887543,1.232000663,-0.543163511,-0.305910559,52.77299526,2.052210119,50.13695182,3.481047224,-0.648740875,-1.01074202,-0.006385668,0.200346084,all,48,SW10x10_WOG_TW48
tw48-30dBG_In-B,55.5,65.0015,1.263408518,1.564027612,0.031000019,0.002251196,55.27220899,2.018789201,55.18034691,3.88837958,-0.232797318,-0.464451833,0.86419127,0.553710574,all,48,SW10x10_WOG_TW48
