Naming,RST_Median,RST_99.7,Q_all,Q_tr_all,z_va_all,z_tr_all,z_tr_err32_all,z_va_err32_all,z_tr_err68_all,z_va_err68_all,avg_train_all,err_train_all,avg_val_all,err_val_all,mode,tw
sw10_tw48-30dBG_A,29.5,38.50150000000002,1.3251631801075798,2.2241484383769703,0.6609242454607974,1.7956666769022966,1.784185325411383,0.44564800540258576,2.5959942668114886,0.9890342616085109,44.246914019846706,2.0868013829969745,39.325727601362814,3.4981472132103213,all,48
sw10_tw48-30dBG_B,29.5,38.50150000000002,1.5658347873130884,2.2189221768693446,0.5169677868770466,1.8312962405173776,1.213500553221704,-0.11235400055708172,2.6283221744191065,1.3908341875652317,44.46103590929068,2.0947374814624102,37.16816800704268,3.2650889056631462,all,48
sw10_tw48-30dBG_C,29.5,38.50150000000002,1.2273386240269772,1.8898161349231912,0.42875580150283266,1.3137377142620603,1.0468920198062104,0.1466759436578684,1.7922494300838856,0.9510537278110902,40.41495938061652,2.06138925119702,35.874757958091294,3.50123194037966,all,48
sw10_tw48-30dBG_D,29.5,38.50150000000002,1.6151494408864389,1.9873407433156518,0.9012913778738151,1.6851205914986689,1.4323462050601747,0.5170513568154779,2.2060244533750946,1.6038405531731248,43.26982173511684,2.102152334416219,41.90856112559966,3.4076931818161067,all,48
sw10_tw48-30dBG_E,29.5,38.50150000000002,1.4110398378054057,2.8761621152184733,0.7104803798596787,2.689512063066773,2.5262462382493442,0.06612318754568805,3.1569722926882635,1.5362886430195497,51.47308495774241,2.1261808532204896,38.702073714861434,3.0327698911013115,all,48
sw10_tw48-30dBG_In-A,29.5,38.50150000000002,1.3164059067384934,1.4305137637990986,0.42563412890617874,0.9217682643732703,1.0005290911031615,-0.2705172307611883,1.3678420573806738,1.0892524342033,37.21161458748299,1.9892191509061201,37.2863759205354,3.2109353528293,all,48
sw10_tw48-30dBG_In-B,29.5,38.50150000000002,1.1700081885282818,1.9390561482277375,0.45235169077190135,1.5300126624564443,1.2235464788092445,0.04593665851136487,1.7671820958216184,0.9595493017584267,42.03525006263868,2.025378722715721,36.27680993470467,3.327549449302023,all,48
sw10_tw48-30dBG_In-C,29.5,38.50150000000002,1.329083462415585,2.100544089656615,0.5791779092283567,1.4883793323029093,1.0235563925990316,-0.23847040974362418,2.659303059667681,1.0627052742882195,41.81554427836605,2.002577776988261,37.83416120857622,3.2520503093471964,all,48
sw10_tw48-30dBG_In-D,29.5,38.50150000000002,1.211476922813324,2.077229366927974,0.8379557337689779,1.6767752066580965,0.8914255779942558,0.12982187051702065,2.1102018520691543,1.48912043501407,43.223933999507786,2.031616443012358,40.866998523248526,3.2952863749859436,all,48
sw10_tw48-30dBG_In-E,29.5,38.50150000000002,1.4451973754611096,2.5077358714719518,0.7298250245217587,2.0624773170056487,1.458136614903624,0.3870646915798673,3.1940402309925413,1.0607420198449204,46.42254380890638,2.0342464002906198,39.06217256255955,2.9857893613575808,all,48
