Naming,RST_Median,RST_99.7,Q_all,Q_tr_all,z_va_all,z_tr_all,z_tr_err32_all,z_va_err32_all,z_tr_err68_all,z_va_err68_all,avg_train_all,err_train_all,avg_val_all,err_val_all,mode,tw
sw22_tw12-30dBG_A,22.0,30.5,1.2308010683458435,1.1350096472896145,0.5772519460600698,0.5648078854562412,0.13389468285287023,-0.16303400989049482,0.9901949127678309,1.227014447197154,26.644018361560562,1.8750224218762337,30.79477640858715,3.354891768101238,all,12
sw22_tw12-30dBG_B,22.0,30.5,1.4605091938426467,1.08074081345682,0.5102593159856615,0.19759616589346476,-0.2570383574725385,-0.044974538443260756,0.6924678200955434,1.5917250548746271,24.145229705638673,1.8148144184383845,32.00958294467066,3.25257566199383,all,12
sw22_tw12-30dBG_C,22.0,30.5,1.2255705269561548,0.9851547221974704,0.4376469582455443,0.6616629929306307,0.3594780238484525,-0.08576354444578516,0.688544358290251,0.7973482769894856,27.084112913135186,1.8980224703867044,29.277245798063568,3.306243155262268,all,12
sw22_tw12-30dBG_D,22.0,30.5,1.210281988024625,1.217184231029227,0.5918603962099386,0.7223265783128262,0.24118065858048318,0.24,1.2030838263146502,1.1850480685434557,27.820644362140417,1.903102265694021,31.460602638290265,3.229494610511757,all,12
sw22_tw12-30dBG_E,22.0,30.5,1.4286259477568937,2.4523049936795362,0.6250650748942163,1.9792976684247665,0.9030682037896058,0.7165361113702573,2.5612154788802846,1.1921032083790286,37.839162348937144,2.025815167515385,31.030373871411605,2.945705780930378,all,12
sw22_tw12-30dBG_In-A,22.0,30.5,0.9260999617558561,0.9740434173461247,0.427463173634983,0.10771570874495934,-0.07337713491518151,0.01603567451474541,0.3420101511578378,0.5796732553981874,23.40075264448579,1.7509188599969225,27.857488508223803,2.9699451054817794,all,12
sw22_tw12-30dBG_In-B,22.0,30.5,1.140409059235581,1.0046810452024715,0.09559922213309599,0.6599065030443179,0.28931219567619687,-0.513218850746318,0.8538138899414829,0.9953961498119706,27.161862323745623,1.8455589572069728,25.433599312616835,2.7887246713688643,all,12
sw22_tw12-30dBG_In-C,22.0,30.5,1.0669984983007808,1.3117276315743267,0.3303293186721644,0.8317183728807437,0.28251912886048125,-0.27157266641963823,0.9887448286215523,1.064324758392806,28.597110763517094,1.8586159218678329,26.784811037790245,2.972458941798093,all,12
sw22_tw12-30dBG_In-D,22.0,30.5,1.1986976102623546,1.7275371039344605,0.3692116408530955,1.354476060847172,0.8249317546212693,0.09285162633708993,1.914652660571,0.8997196503987274,32.86915026544524,1.928776263735657,27.444711142490746,3.152647049020423,all,12
sw22_tw12-30dBG_In-E,22.0,30.5,1.3685742374596055,1.5000308897943364,0.46680616763864513,1.1968247947725201,0.46585888836782785,-0.2380462360309793,1.3907212536201012,1.4328697657237504,31.449026369785628,1.918461102093848,28.797367018874372,2.9263943957867746,all,12
