Naming,RST_Median,RST_99.7,Q_all,Q_tr_all,z_va_all,z_tr_all,z_tr_err32_all,z_va_err32_all,z_tr_err68_all,z_va_err68_all,avg_train_all,err_train_all,avg_val_all,err_val_all,mode,tw
tw48-30dBG_A,17.0,24.00150000000002,1.0270715570557793,1.1402350716706036,0.3344878206189445,0.6740862549685717,0.6019152772478642,-0.12774874304198125,1.0384124406156723,0.970463467725344,22.172382843085927,1.764461547395323,21.86529498598464,2.8681236620001593,all,48
tw48-30dBG_B,17.0,24.00150000000002,0.9425560612549405,1.2720080646775676,0.5135746721743709,0.9434851886995171,0.4868393108444582,-0.03098386676965955,1.1493276950107878,0.833690854004977,24.067561286651472,1.8168337648648685,22.871498295837593,2.94453222154267,all,48
tw48-30dBG_C,17.0,24.00150000000002,1.0191168336581613,1.469509006788406,0.6241201442462001,1.3508746393530162,1.2768651461272755,0.2326860372395498,1.5365544601994152,1.0403789436858193,27.143852676822316,1.905783053941119,25.395008913826118,3.403007476955936,all,48
tw48-30dBG_D,17.0,24.00150000000002,0.9132861185099704,1.3801715524358606,0.5406557462572512,1.1782791870742317,0.8203118968276791,0.2071006325421444,1.4099831368136466,1.0005467874728229,25.800718695530446,1.868113184137171,23.587362936920172,2.982625680418631,all,48
tw48-30dBG_E,17.0,24.00150000000002,1.3178514126381211,1.6207755175765344,0.5270497955305291,1.385873166449237,1.1794805012975516,0.3205089494484266,1.9707862235908078,0.8858938705528051,27.613658237946666,1.903247393335542,23.034153958439887,2.5269776163747077,all,48
tw48-30dBG_In-A,17.0,24.00150000000002,0.7692275077691184,1.0557882222335333,0.3819807969983269,0.6935614453378651,0.2836127903941088,-0.0828330522185017,0.9296139933801536,0.5938205491015076,22.167859750143407,1.7173790074802067,21.38717424961469,2.600432662106531,all,48
tw48-30dBG_In-B,17.0,24.00150000000002,1.1057406403761116,1.2069638858532425,0.3296583658421815,0.7696968244366793,0.5821634575834845,-0.20702283996895884,1.2760461784464687,0.5394426442032819,22.989752043700662,1.7391629490294895,22.142459178804287,2.738856186698438,all,48
tw48-30dBG_In-C,17.0,24.00150000000002,1.0004708951918633,1.3872474437698488,0.1097525333160855,1.0676378517550602,0.7213180189425463,-0.3446138134197571,1.6940988693169532,0.6814689167632733,25.139498556244288,1.7921474854988677,18.60502344877345,2.6120877750691096,all,48
tw48-30dBG_In-D,17.0,24.00150000000002,1.1409893339180712,1.5418178918964518,0.4546384392405009,1.1293727363268493,0.5398791130111322,0.07691875937689818,1.7923498297524296,0.7616221551867031,25.833713890938718,1.8007331101562636,23.6598083327872,2.7869139771515,all,48
tw48-30dBG_In-E,17.0,24.00150000000002,0.8401951734086534,1.847466612084577,0.23477228666191258,1.5603661627518144,1.3458780371893933,-0.10175833108650592,1.7802709831113892,0.5515722562964909,29.1673437771284,1.8724022299877114,19.571119037289577,2.577658932814191,all,48
